Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Manager_JobInvolvement,Manager_PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Average_Daily_Work_Hours,Average_Monthly_Hours,Annual_Total_Work_Hours,free_days,Overtime_Workers
45.0,No,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,8,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,7.759693486590041,168.77333333333334,2033.0396934865907,20,false
36.0,No,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,8,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,6.527126436781602,141.965,1710.1071264367797,20,false
55.0,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,8,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,8.161072796934862,177.50333333333333,2138.201072796934,32,true
47.0,Yes,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,8,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,8.463831417624515,184.08833333333334,2217.523831417623,26,true
28.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,8,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,5.623103448275863,122.3025,1473.2531034482763,20,false
37.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,8,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.088544061302683,132.42583333333334,1595.1985440613028,24,false
21.0,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,8,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,5.75708812260536,125.21666666666665,1508.3570881226044,34,false
37.0,No,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,8,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,10.381532567049813,225.79833333333332,2719.961532567051,15,true
35.0,No,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,8,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.1867816091954015,134.5625,1620.9367816091951,29,false
38.0,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,8,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,8.225287356321845,178.9,2155.0252873563236,30,true
26.0,No,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,8,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,6.747394636015323,146.75583333333336,1767.8173946360146,29,false
50.0,No,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,8,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,5.3640613026819945,116.66833333333334,1405.3840613026828,28,false
53.0,No,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,8,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,7.4684291187739476,162.43833333333333,1956.728429118774,29,false
42.0,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,8,0,20.0,4,20,11,6,1,3,2.0,3.0,3.0,6.3117624521072795,137.28083333333333,1653.6817624521073,19,false
29.0,No,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,8,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,6.277931034482761,136.545,1644.8179310344833,30,false
55.0,No,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,8,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,8.644367816091949,188.015,2264.82436781609,20,true
26.0,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,8,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.051954022988514,218.63,2633.6119540229906,22,true
37.0,No,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,8,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,6.875938697318006,149.55166666666668,1801.4959386973173,25,false
44.0,Yes,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,8,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.220536398467434,222.29666666666665,2677.780536398468,18,true
38.0,No,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,8,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.020114942528739,130.9375,1577.2701149425297,31,false
26.0,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,8,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,9.218314176245213,200.49833333333333,2415.198314176246,23,true
28.0,No,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,8,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.221187739463604,135.31083333333333,1629.951187739464,19,false
49.0,No,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,8,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,9.430076628352493,205.10416666666666,2470.6800766283536,27,true
36.0,No,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,8,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,5.75639846743295,125.20166666666667,1508.1763984674328,18,false
31.0,No,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,8,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.056321839080459,131.725,1586.7563218390803,21,false
26.0,Yes,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,8,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,9.13084291187739,198.59583333333333,2392.280842911877,29,true
37.0,No,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,8,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,9.256398467432946,201.32666666666668,2425.176398467432,19,true
42.0,No,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,8,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,5.269042145593867,114.60166666666667,1380.4890421455932,31,false
18.0,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,8,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,5.8932950191570885,128.17916666666667,1544.043295019157,34,false
35.0,No,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,8,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,7.041992337164749,153.16333333333333,1845.0019923371644,22,false
36.0,No,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,8,2,4.0,2,1,0,0,2,3,3.0,3.0,3.0,6.735287356321837,146.49249999999998,1764.6452873563214,17,false
51.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,8,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,6.838122605363987,148.72916666666666,1791.5881226053643,26,false
41.0,No,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,8,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,6.446283524904209,140.20666666666668,1688.9262835249028,19,false
18.0,No,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,8,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,6.445134099616859,140.18166666666664,1688.625134099617,21,false
28.0,No,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,8,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,6.732298850574709,146.4275,1763.8622988505738,17,false
31.0,No,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,8,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,6.595938697318009,143.46166666666667,1728.1359386973184,21,false
39.0,No,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,8,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,6.875785440613028,149.54833333333332,1801.4557854406135,26,false
36.0,No,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,8,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,7.112490421455937,154.6966666666667,1863.4724904214556,24,false
32.0,No,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,8,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,6.0659770114942555,131.935,1589.2859770114949,34,false
38.0,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,8,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,6.033486590038313,131.22833333333332,1580.7734865900381,33,false
58.0,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,8,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,10.102490421455938,219.72916666666666,2646.852490421456,19,true
31.0,No,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,8,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,8.286436781609195,180.23000000000002,2171.046436781609,24,true
31.0,No,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,8,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,6.255632183908043,136.06,1638.9756321839072,22,false
45.0,No,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,8,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,6.615287356321835,143.8825,1733.2052873563207,25,false
31.0,No,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,8,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,8.050114942528738,175.09,2109.1301149425294,17,true
33.0,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,8,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,6.161149425287356,134.005,1614.2211494252872,24,false
39.0,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,8,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,10.312873563218389,224.30499999999998,2701.972873563218,16,true
43.0,No,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,8,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,6.685402298850579,145.4075,1751.5754022988515,34,false
49.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,8,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,9.2627969348659,201.46583333333334,2426.852796934866,18,true
52.0,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,8,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,7.239080459770114,157.45000000000002,1896.6390804597697,22,false
27.0,No,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,8,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,9.977203065134093,217.0041666666667,2614.0272030651327,17,true
32.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,8,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,9.611532567049807,209.05083333333334,2518.2215325670495,22,true
27.0,No,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,8,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,8.91222222222222,193.84083333333334,2335.0022222222215,30,true
31.0,No,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,8,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.151034482758619,133.785,1611.5710344827583,18,false
32.0,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,8,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,6.808237547892723,148.07916666666668,1783.7582375478935,24,false
28.0,Yes,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,8,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,10.151839080459773,220.8025,2659.7818390804605,14,true
30.0,No,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,8,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,5.497739463601537,119.57583333333334,1440.4077394636029,29,false
31.0,No,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,8,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,5.748352490421457,125.02666666666666,1506.0683524904216,34,false
39.0,No,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,8,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,5.307931034482754,115.44749999999999,1390.6779310344818,33,false
39.0,Yes,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,8,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,9.398659003831414,204.42083333333335,2462.44865900383,15,true
33.0,No,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,8,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,6.880842911877395,149.65833333333333,1802.7808429118775,19,false
47.0,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,8,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.046091954022984,131.5025,1584.0760919540219,18,false
43.0,No,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,8,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,5.6720689655172425,123.3675,1486.0820689655175,26,false
27.0,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,8,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,8.2460153256705,179.35083333333333,2160.456015325671,30,true
54.0,No,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,8,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,5.419961685823752,117.88416666666667,1420.0299616858233,29,false
43.0,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,8,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,6.580919540229885,143.135,1724.2009195402297,23,false
45.0,No,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,8,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,6.583409961685827,143.18916666666667,1724.8534099616866,19,false
40.0,No,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,8,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,8.774406130268193,190.84333333333333,2298.894406130267,30,true
29.0,Yes,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,8,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,9.23344827586207,200.82750000000001,2419.1634482758623,31,true
29.0,No,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,8,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,6.324865900383143,137.56583333333333,1657.1148659003836,22,false
30.0,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,8,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,6.745785440613029,146.72083333333333,1767.3957854406135,29,false
27.0,No,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,8,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,5.683754789272032,123.62166666666667,1489.1437547892726,17,false
37.0,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,8,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,5.426513409961687,118.02666666666666,1421.7465134099618,25,false
38.0,No,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,8,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,8.329080459770106,181.1575,2182.2190804597676,19,true
31.0,No,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,8,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0,9.507394636015325,206.78583333333333,2490.937394636015,23,true
29.0,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,8,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,7.841455938697316,170.55166666666665,2054.461455938697,17,false
35.0,No,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,13,8,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,7.063103448275863,153.6225,1850.5331034482758,28,false
23.0,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,8,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,6.452145593869734,140.33416666666668,1690.4621455938702,24,false
41.0,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,8,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,8.872183908045978,192.97,2324.512183908046,22,true
47.0,No,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,8,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,7.115478927203062,154.76166666666666,1864.2554789272021,22,false
42.0,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,22,8,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,5.706819923371649,124.12333333333333,1495.1868199233718,24,false
29.0,No,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,22,8,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,5.629501915708814,122.44166666666666,1474.9295019157091,28,false
42.0,No,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,8,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,7.714712643678165,167.795,2021.254712643679,33,false
32.0,No,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,13,8,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,6.834559386973183,148.65166666666667,1790.6545593869737,30,false
48.0,No,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,16,8,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,6.532567049808429,142.08333333333334,1711.5325670498084,28,false
37.0,No,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,8,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,10.219003831417627,222.26333333333332,2677.3790038314182,14,true
30.0,No,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,8,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,9.764022988505747,212.36749999999998,2558.1740229885054,16,true
26.0,No,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,8,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,5.580957854406129,121.38583333333334,1462.2109578544057,18,false
42.0,No,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,8,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,5.598084291187741,121.75833333333333,1466.698084291188,22,false
21.0,Yes,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,8,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,7.603793103448274,165.3825,1992.193793103448,17,false
36.0,No,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,8,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,6.494176245210728,141.24833333333333,1701.4741762452109,29,false
36.0,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,8,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,6.47896551724138,140.9175,1697.4889655172417,23,false
57.0,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,8,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,5.697509578544064,123.92083333333333,1492.7475095785449,26,false
40.0,No,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,14,8,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,7.256360153256707,157.82583333333335,1901.1663601532573,28,false
21.0,No,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,14,8,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,7.007241379310345,152.4075,1835.8972413793103,32,false
33.0,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,8,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,9.301149425287353,202.29999999999998,2436.9011494252863,30,true
37.0,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,8,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,7.07444444444444,153.86916666666667,1853.5044444444434,30,false
46.0,No,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,8,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,5.33168582375479,115.96416666666666,1396.9016858237549,33,false
41.0,Yes,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,8,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,6.773908045977009,147.3325,1774.7639080459767,28,false
50.0,No,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,8,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,6.072068965517241,132.0675,1590.8820689655172,31,false
40.0,Yes,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,8,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,8.334406130268203,181.2733333333333,2183.6144061302693,27,true
31.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,8,0,3.0,5,2,2,2,3,4,3.0,2.0,3.0,10.184865900383139,221.52083333333334,2668.434865900382,15,true
21.0,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,8,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,5.283103448275866,114.90750000000001,1384.1731034482768,31,false
29.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,8,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,7.3109961685823786,159.01416666666668,1915.480996168583,16,false
35.0,No,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,8,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,6.978429118773944,151.78083333333333,1828.3484291187733,25,false
27.0,No,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,0.4,12,8,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,5.549233716475094,120.69583333333333,1453.8992337164746,27,false
28.0,No,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,8,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,6.329693486590035,137.67083333333332,1658.379693486589,29,false
